talk_id,speaker_id
201,201
202,202
203,203
204,204
204,205
205,206
206,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,216
216,217
217,218
218,219
219,220
220,221
221,222
222,223
223,224
224,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
232,233
233,234
234,235
235,236
236,237
237,238
237,239
237,240
237,241
238,242
239,243
240,244
241,245
242,246
243,247
244,248
245,249
246,250
247,251
248,252
248,253
248,254
249,255
250,256
251,257
252,258
253,259
254,260
255,261
255,262
255,263
258,201
259,202
260,203
261,204
